Year,City,Sport,Discipline,NOC,Event,Event gender,Medal
1896,Athens,Aquatics,Swimming,GRE,100m for sailor,M,Bronze
1896,Athens,Aquatics,Swimming,GRE,100m for sailor,M,Gold
1896,Athens,Aquatics,Swimming,GRE,100m for sailor,M,Silver
1896,Athens,Aquatics,Swimming,HUN,100m freestyle,M,Gold
1896,Athens,Aquatics,Swimming,AUT,100m freestyle,M,Silver
1896,Athens,Aquatics,Swimming,GRE,1200m freestyle,M,Bronze
1896,Athens,Aquatics,Swimming,HUN,1200m freestyle,M,Gold
1896,Athens,Aquatics,Swimming,GRE,1200m freestyle,M,Silver
1896,Athens,Aquatics,Swimming,GRE,400m freestyle,M,Bronze
1896,Athens,Aquatics,Swimming,AUT,400m freestyle,M,Gold
1896,Athens,Aquatics,Swimming,GRE,400m freestyle,M,Silver
1896,Athens,Athletics,Athletics,HUN,100m,M,Bronze
1896,Athens,Athletics,Athletics,USA,100m,M,Bronze
1896,Athens,Athletics,Athletics,USA,100m,M,Gold
1896,Athens,Athletics,Athletics,GER,100m,M,Silver
1896,Athens,Athletics,Athletics,USA,110m hurdles,M,Gold
1896,Athens,Athletics,Athletics,GBR,110m hurdles,M,Silver
1896,Athens,Athletics,Athletics,FRA,1500m,M,Bronze
1896,Athens,Athletics,Athletics,AUS,1500m,M,Gold
1896,Athens,Athletics,Athletics,USA,1500m,M,Silver
1896,Athens,Athletics,Athletics,GBR,400m,M,Bronze
1896,Athens,Athletics,Athletics,USA,400m,M,Gold
1896,Athens,Athletics,Athletics,USA,400m,M,Silver
1896,Athens,Athletics,Athletics,GRE,800m,M,Bronze
1896,Athens,Athletics,Athletics,AUS,800m,M,Gold
1896,Athens,Athletics,Athletics,HUN,800m,M,Silver
1896,Athens,Athletics,Athletics,GRE,discus throw,M,Bronze
1896,Athens,Athletics,Athletics,USA,discus throw,M,Gold
1896,Athens,Athletics,Athletics,GRE,discus throw,M,Silver
1896,Athens,Athletics,Athletics,USA,high jump,M,Gold
1896,Athens,Athletics,Athletics,USA,high jump,M,Silver
1896,Athens,Athletics,Athletics,USA,high jump,M,Silver
1896,Athens,Athletics,Athletics,USA,long jump,M,Bronze
1896,Athens,Athletics,Athletics,USA,long jump,M,Gold
1896,Athens,Athletics,Athletics,USA,long jump,M,Silver
1896,Athens,Athletics,Athletics,HUN,marathon,M,Bronze
1896,Athens,Athletics,Athletics,GRE,marathon,M,Gold
1896,Athens,Athletics,Athletics,GRE,marathon,M,Silver
1896,Athens,Athletics,Athletics,GRE,pole vault,M,Bronze
1896,Athens,Athletics,Athletics,GRE,pole vault,M,Bronze
1896,Athens,Athletics,Athletics,USA,pole vault,M,Gold
1896,Athens,Athletics,Athletics,USA,pole vault,M,Silver
1896,Athens,Athletics,Athletics,GRE,shot put,M,Bronze
1896,Athens,Athletics,Athletics,USA,shot put,M,Gold
1896,Athens,Athletics,Athletics,GRE,shot put,M,Silver
1896,Athens,Athletics,Athletics,GRE,triple jump,M,Bronze
1896,Athens,Athletics,Athletics,USA,triple jump,M,Gold
1896,Athens,Athletics,Athletics,FRA,triple jump,M,Silver
1896,Athens,Cycling,Cycling Road,GBR,individual road,M,Bronze
1896,Athens,Cycling,Cycling Road,GRE,individual road,M,Gold
1896,Athens,Cycling,Cycling Road,GER,individual road,M,Silver
1896,Athens,Cycling,Cycling Track,FRA,100km,M,Gold
1896,Athens,Cycling,Cycling Track,GRE,100km,M,Silver
1896,Athens,Cycling,Cycling Track,AUT,10km,M,Bronze
1896,Athens,Cycling,Cycling Track,FRA,10km,M,Gold
1896,Athens,Cycling,Cycling Track,FRA,10km,M,Silver
1896,Athens,Cycling,Cycling Track,AUT,12-hour race,M,Gold
1896,Athens,Cycling,Cycling Track,GBR,12-hour race,M,Silver
1896,Athens,Cycling,Cycling Track,AUT,1km time trial,M,Bronze
1896,Athens,Cycling,Cycling Track,FRA,1km time trial,M,Gold
1896,Athens,Cycling,Cycling Track,GRE,1km time trial,M,Silver
1896,Athens,Cycling,Cycling Track,FRA,sprint ind.,M,Bronze
1896,Athens,Cycling,Cycling Track,FRA,sprint ind.,M,Gold
1896,Athens,Cycling,Cycling Track,GRE,sprint ind.,M,Silver
1896,Athens,Fencing,Fencing,GRE,foil individual,M,Bronze
1896,Athens,Fencing,Fencing,FRA,foil individual,M,Gold
1896,Athens,Fencing,Fencing,FRA,foil individual,M,Silver
1896,Athens,Fencing,Fencing,GRE,"foil, masters",M,Gold
1896,Athens,Fencing,Fencing,FRA,"foil, masters",M,Silver
1896,Athens,Fencing,Fencing,DEN,sabre individua,M,Bronze
1896,Athens,Fencing,Fencing,GRE,sabre individua,M,Gold
1896,Athens,Fencing,Fencing,GRE,sabre individua,M,Silver
1896,Athens,Gymnastics,Artistic Gymnastics,GER,horizontal bar,M,Gold
1896,Athens,Gymnastics,Artistic Gymnastics,GER,horizontal bar,M,Silver
1896,Athens,Gymnastics,Artistic Gymnastics,GER,parallel bars,M,Gold
1896,Athens,Gymnastics,Artistic Gymnastics,SUI,parallel bars,M,Silver
1896,Athens,Gymnastics,Artistic Gymnastics,SUI,pommel horse,M,Gold
1896,Athens,Gymnastics,Artistic Gymnastics,GER,pommel horse,M,Silver
1896,Athens,Gymnastics,Artistic Gymnastics,GRE,rings,M,Bronze
1896,Athens,Gymnastics,Artistic Gymnastics,GRE,rings,M,Gold
1896,Athens,Gymnastics,Artistic Gymnastics,GER,rings,M,Silver
1896,Athens,Gymnastics,Artistic Gymnastics,GER,rope climbing,M,Bronze
1896,Athens,Gymnastics,Artistic Gymnastics,GRE,rope climbing,M,Gold
1896,Athens,Gymnastics,Artistic Gymnastics,GRE,rope climbing,M,Silver
