,Discipline,Event,Event gender,Medal,NOC,Sport,Year
0,Taekwondo,- 58 kg,M,Bronze,AFG,Taekwondo,2008
1,Sailing,board (division II),M,Silver,AHO,Sailing,1988
2,Boxing,71-75kg,M,Bronze,ALG,Boxing,1984
3,Boxing,71-75kg,M,Bronze,ALG,Boxing,1996
4,Boxing,75 - 81kg (light-heavyweight),M,Bronze,ALG,Boxing,1984
5,Athletics,1500m,W,Gold,ALG,Athletics,1992
6,Athletics,1500m,M,Gold,ALG,Athletics,1996
7,Athletics,1500m,W,Gold,ALG,Athletics,2000
8,Boxing,54 - 57kg (featherweight),M,Bronze,ALG,Boxing,1992
9,Boxing,57 - 60kg (lightweight),M,Gold,ALG,Boxing,1996
10,Cycling Track,5000m,M,Silver,ALG,Cycling,2000
11,Athletics,5000m,M,Silver,ALG,Athletics,2000
12,Swimming,1500m freestyle,M,Bronze,ANZ,Aquatics,1908
13,Swimming,1500m freestyle,M,Bronze,ANZ,Aquatics,1912
14,Athletics,3500m walk,M,Bronze,ANZ,Athletics,1908
15,Swimming,400m freestyle,M,Silver,ANZ,Aquatics,1908
16,Swimming,400m freestyle,M,Bronze,ANZ,Aquatics,1912
17,Boxing,63.5 - 71.67kg (middleweight),M,Silver,ANZ,Boxing,1908
18,Rugby,rugby,M,Gold,ANZ,Rugby,1908
19,Swimming,100m freestyle,M,Silver,ANZ,Aquatics,1912
20,Swimming,100m freestyle,W,Gold,ANZ,Aquatics,1912
21,Swimming,100m freestyle,W,Silver,ANZ,Aquatics,1912
22,Swimming,4x200m freestyle relay,M,Gold,ANZ,Aquatics,1912
23,Tennis,singles indoor,M,Bronze,ANZ,Tennis,1912
24,Boxing,+ 79.38kg (heavyweight),M,Bronze,ARG,Boxing,1924
25,Boxing,+ 79.38kg (heavyweight),M,Gold,ARG,Boxing,1928
26,Boxing,+ 79.38kg (heavyweight),M,Gold,ARG,Boxing,1932
27,Boxing,+ 79.38kg (heavyweight),M,Silver,ARG,Boxing,1936
28,Boxing,53.52 - 57.15kg (featherweight),M,Bronze,ARG,Boxing,1924
29,Boxing,53.52 - 57.15kg (featherweight),M,Silver,ARG,Boxing,1928
30,Boxing,57.15 - 61.24kg (lightweight),M,Silver,ARG,Boxing,1924
31,Boxing,61.24 - 66.68kg (welterweight),M,Silver,ARG,Boxing,1924
32,Boxing,61.24 - 66.68kg (welterweight),M,Silver,ARG,Boxing,1928
33,Polo,polo,M,Gold,ARG,Polo,1924
34,Boxing,- 48kg (light-flyweight),M,Silver,ARM,Boxing,1996
35,Wrestling Free.,- 48kg (light-flyweight),M,Silver,ARM,Wrestling,1996
36,Wrestling Gre-R,- 48kg (light-flyweight),M,Silver,ARM,Wrestling,1996
37,Wrestling Free.,48 - 52kg (flyweight),M,Gold,ARM,Wrestling,1996
38,Wrestling Gre-R,48 - 52kg (flyweight),M,Gold,ARM,Wrestling,1996
39,Weightlifting,77kg,M,Bronze,ARM,Weightlifting,2000
40,Weightlifting,77kg,M,Bronze,ARM,Weightlifting,2008
41,Wrestling Free.,- 55kg,M,Bronze,ARM,Wrestling,2008
42,Wrestling Gre-R,- 55kg,M,Bronze,ARM,Wrestling,2008
43,Boxing,57 - 60kg (lightweight),M,Bronze,ARM,Boxing,2008
44,Athletics,1500m,M,Gold,AUS,Athletics,1896
