,Discipline,Event,Event gender,Medal,NOC,Sport,Year
0,Taekwondo,- 58 kg,M,Bronze,AFG,Taekwondo,2008
1,Sailing,board (division II),M,Silver,AHO,Sailing,1988
2,Boxing,71-75kg,M,Bronze,ALG,Boxing,1984
3,Boxing,71-75kg,M,Bronze,ALG,Boxing,1996
4,Boxing,75 - 81kg (light-heavyweight),M,Bronze,ALG,Boxing,1984
5,Athletics,1500m,W,Gold,ALG,Athletics,1992
6,Athletics,1500m,M,Gold,ALG,Athletics,1996
7,Athletics,1500m,W,Gold,ALG,Athletics,2000
8,Boxing,54 - 57kg (featherweight),M,Bronze,ALG,Boxing,1992
9,Boxing,57 - 60kg (lightweight),M,Gold,ALG,Boxing,1996
10,Cycling Track,5000m,M,Silver,ALG,Cycling,2000
11,Athletics,5000m,M,Silver,ALG,Athletics,2000
12,Boxing,60 - 63.5kg (light-welterweight),M,Bronze,ALG,Boxing,2000
13,Athletics,800m,M,Bronze,ALG,Athletics,2000
14,Athletics,high jump,M,Bronze,ALG,Athletics,2000
15,Jumping,high jump,M,Bronze,ALG,Equestrian,2000
16,Judo,48 - 52kg (half-lightweight),W,Bronze,ALG,Judo,2008
17,Judo,81 - 90kg (middleweight),M,Silver,ALG,Judo,2008
18,Swimming,1500m freestyle,M,Bronze,ANZ,Aquatics,1908
19,Swimming,1500m freestyle,M,Bronze,ANZ,Aquatics,1912
20,Athletics,3500m walk,M,Bronze,ANZ,Athletics,1908
21,Swimming,400m freestyle,M,Silver,ANZ,Aquatics,1908
22,Swimming,400m freestyle,M,Bronze,ANZ,Aquatics,1912
23,Boxing,63.5 - 71.67kg (middleweight),M,Silver,ANZ,Boxing,1908
24,Rugby,rugby,M,Gold,ANZ,Rugby,1908
25,Swimming,100m freestyle,M,Silver,ANZ,Aquatics,1912
26,Swimming,100m freestyle,W,Gold,ANZ,Aquatics,1912
27,Swimming,100m freestyle,W,Silver,ANZ,Aquatics,1912
28,Swimming,4x200m freestyle relay,M,Gold,ANZ,Aquatics,1912
29,Tennis,singles indoor,M,Bronze,ANZ,Tennis,1912
30,Boxing,+ 79.38kg (heavyweight),M,Bronze,ARG,Boxing,1924
31,Boxing,+ 79.38kg (heavyweight),M,Gold,ARG,Boxing,1928
32,Boxing,+ 79.38kg (heavyweight),M,Gold,ARG,Boxing,1932
33,Boxing,+ 79.38kg (heavyweight),M,Silver,ARG,Boxing,1936
34,Boxing,53.52 - 57.15kg (featherweight),M,Bronze,ARG,Boxing,1924
35,Boxing,53.52 - 57.15kg (featherweight),M,Silver,ARG,Boxing,1928
36,Boxing,57.15 - 61.24kg (lightweight),M,Silver,ARG,Boxing,1924
37,Boxing,61.24 - 66.68kg (welterweight),M,Silver,ARG,Boxing,1924
38,Boxing,61.24 - 66.68kg (welterweight),M,Silver,ARG,Boxing,1928
39,Polo,polo,M,Gold,ARG,Polo,1924
40,Polo,polo,M,Gold,ARG,Polo,1936
41,Athletics,triple jump,M,Silver,ARG,Athletics,1924
42,Swimming,400m freestyle,M,Gold,ARG,Aquatics,1928
43,Boxing,72.57 - 79.38kg (light-heavyweight),M,Gold,ARG,Boxing,1928
44,Boxing,72.57 - 79.38kg (light-heavyweight),M,Bronze,ARG,Boxing,1936
45,Fencing,foil team,M,Bronze,ARG,Fencing,1928
46,Football,football,M,Silver,ARG,Football,1928
