0,1,2,3,4,5,6,7,8,9,10
Aquatics,USA,AUS,CHN,RUS,JPN,NED,FRA,GER,GBR,CAN
Aquatics,23.990000000000002,13.84,11.03,6.65,5.779999999999999,4.2,3.85,3.85,2.8000000000000003,2.63
Aquatics,USA,CHN,AUS,RUS,NED,FRA,HUN,GER,ITA,JPN
Aquatics,30.69,17.46,12.17,6.35,6.35,3.7,3.17,2.65,2.65,2.65
Archery,KOR,CHN,ITA,JPN,UKR,USA,AUS,MEX,TPE,FRA
Archery,37.5,12.5,8.33,6.25,6.25,6.25,4.17,4.17,4.17,2.08
Archery,KOR,ITA,AUS,CHN,UKR,,,,,
Archery,68.75,12.5,6.25,6.25,6.25,,,,,
Athletics,USA,RUS,KEN,JAM,ETH,GBR,CUB,GER,BLR,UKR
Athletics,16.46,11.63,6.98,6.4399999999999995,5.19,3.58,3.4000000000000004,2.86,2.68,2.5
Athletics,USA,RUS,ETH,JAM,KEN,GBR,POL,CUB,BAH,BLR
Athletics,16.85,11.41,7.07,6.52,5.98,5.43,3.8,2.72,2.17,2.17
Badminton,CHN,KOR,INA,RUS,USA,DEN,CHI,ESP,FRA,BEL
Badminton,33.93,12.5,8.04,5.36,5.36,4.46,3.5700000000000003,2.68,2.68,1.79
Badminton,CHN,INA,KOR,USA,CHI,RUS,BEL,CAN,ESP,SUI
Badminton,50.0,8.82,8.82,8.82,5.88,5.88,2.94,2.94,2.94,2.94
Baseball,CUB,KOR,USA,AUS,JPN,,,,,
Baseball,33.33,22.220000000000002,22.220000000000002,11.110000000000001,11.110000000000001,,,,,
Baseball,CUB,KOR,USA,,,,,,,
Baseball,33.33,33.33,33.33,,,,,,,
Basketball,USA,AUS,RUS,ARG,ESP,FRA,BRA,ITA,LTU,
Basketball,33.33,16.669999999999998,12.5,8.33,8.33,8.33,4.17,4.17,4.17,
Basketball,USA,ARG,,,,,,,,
Basketball,87.5,12.5,,,,,,,,
Boxing,CUB,RUS,KAZ,UKR,GBR,USA,ITA,THA,CHN,IRL
Boxing,13.83,11.700000000000001,6.909999999999999,6.38,5.319999999999999,4.79,4.26,4.26,4.26,3.7199999999999998
Boxing,CUB,RUS,GBR,KAZ,CHN,THA,UKR,USA,DOM,FRA
Boxing,23.4,17.02,10.64,10.64,6.38,6.38,6.38,4.26,2.13,2.13
Canoe,GER,HUN,GBR,UKR,BLR,CAN,ESP,RUS,SVK,AUS
Canoe,16.669999999999998,12.5,8.33,6.25,6.25,6.25,6.25,6.25,4.17,4.17
Canoe,GER,HUN,FRA,GBR,AUS,ITA,NOR,NZL,RUS,UKR
Canoe,18.75,18.75,12.5,12.5,6.25,6.25,6.25,6.25,6.25,6.25
Canoe / Kayak,GER,HUN,SVK,AUS,FRA,GBR,CAN,RUS,ITA,POL
Canoe / Kayak,17.36,11.81,7.64,6.25,5.56,5.56,4.859999999999999,4.859999999999999,4.859999999999999,4.17
Canoe / Kayak,GER,HUN,SVK,FRA,NOR,CHN,ESP,BLR,ITA,ROU
Canoe / Kayak,22.92,18.75,12.5,6.25,6.25,4.17,4.17,4.17,4.17,2.08
Cycling,GBR,GER,AUS,FRA,USA,RUS,NED,ESP,SUI,CAN
Cycling,12.540000000000001,12.2,9.83,7.12,6.78,5.42,5.42,4.07,4.07,3.73
Cycling,GBR,GER,FRA,NED,AUS,RUS,USA,ETH,ESP,CAN
Cycling,20.41,9.18,9.18,9.18,9.18,5.1,5.1,4.08,3.06,3.06
Equestrian,GER,USA,CAN,GBR,RUS,NED,CHN,AUS,ESP,FRA
Equestrian,15.920000000000002,10.73,8.3,8.3,8.3,7.61,7.2700000000000005,4.15,3.11,3.11
Equestrian,RUS,GER,CHN,NED,USA,FRA,GBR,AUS,BRA,CAN
Equestrian,20.43,18.28,12.9,9.68,9.68,6.45,6.45,3.23,3.23,3.23
Fencing,ITA,FRA,RUS,GER,CHN,USA,KOR,HUN,ROU,UKR
Fencing,21.67,13.33,10.0,9.17,8.33,7.5,7.5,5.0,3.3300000000000005,3.3300000000000005
Fencing,ITA,FRA,RUS,CHN,HUN,KOR,GER,UKR,USA,ROU
Fencing,27.5,15.0,12.5,7.5,7.5,7.5,5.0,5.0,5.0,2.5
Football,BRA,USA,GER,ARG,CAN,CHI,CMR,ESP,ITA,JPN
Football,16.669999999999998,16.669999999999998,12.5,8.33,4.17,4.17,4.17,4.17,4.17,4.17
Football,USA,ARG,CMR,MEX,NOR,,,,,
Football,37.5,25.0,12.5,12.5,12.5,,,,,
Golf,GER,USA,CAN,CHN,RUS,GBR,NED,AUS,ESP,FRA
Golf,16.669999999999998,11.899999999999999,9.520000000000001,8.33,7.140000000000001,7.140000000000001,7.140000000000001,4.760000000000001,3.5700000000000003,3.5700000000000003
Golf,GER,RUS,CHN,NED,USA,FRA,AUS,BRA,CAN,GBR
Golf,18.52,18.52,14.81,11.11,11.11,7.41,3.7,3.7,3.7,3.7
Gymnastics,RUS,CHN,USA,ROU,GER,UKR,JPN,FRA,KOR,BLR
Gymnastics,17.84,17.1,13.01,8.55,5.2,4.46,3.7199999999999998,3.35,2.97,2.97
Gymnastics,CHN,RUS,USA,ROU,NED,CAN,HUN,UKR,BRA,GER
Gymnastics,23.33,22.22,12.22,11.11,4.44,3.33,2.22,2.22,2.22,2.22
Handball,ESP,NOR,RUS,CRO,DEN,FRA,KOR,SWE,GER,HUN
Handball,12.5,12.5,12.5,8.33,8.33,8.33,8.33,8.33,4.17,4.17
Handball,DEN,FRA,NOR,CRO,RUS,,,,,
Handball,25.0,25.0,25.0,12.5,12.5,,,,,
Hockey,NED,AUS,ARG,GER,CHN,ESP,GBR,KOR,,
Hockey,29.17,20.830000000000002,16.669999999999998,16.669999999999998,4.17,4.17,4.17,4.17,,
Hockey,GER,NED,AUS,,,,,,,
Hockey,37.5,37.5,25.0,,,,,,,
Jeu de paume,GER,CAN,USA,CHN,NED,GBR,RUS,AUS,FRA,UKR
Jeu de paume,19.57,13.04,10.870000000000001,8.7,8.7,6.52,6.52,4.35,4.35,4.35
Jeu de paume,NED,CHN,GER,RUS,BRA,CAN,FRA,GBR,UKR,USA
Jeu de paume,20.0,13.33,13.33,13.33,6.67,6.67,6.67,6.67,6.67,6.67
Judo,JPN,CUB,FRA,KOR,CHN,RUS,NED,BRA,GER,ITA
Judo,14.29,8.93,8.04,6.7,6.7,5.800000000000001,5.36,4.91,4.46,3.1199999999999997
Judo,JPN,CHN,FRA,KOR,CUB,GEO,RUS,ITA,GER,NED
Judo,30.36,10.71,7.14,7.14,5.36,5.36,5.36,3.57,3.57,1.79
Modern Pentathlon,GBR,LTU,HUN,RUS,CZE,BLR,BRA,CHN,GER,LAT
Modern Pentathlon,20.830000000000002,16.669999999999998,12.5,12.5,8.33,4.17,4.17,4.17,4.17,4.17
Modern Pentathlon,RUS,CZE,GBR,GER,HUN,LTU,,,,
Modern Pentathlon,37.5,12.5,12.5,12.5,12.5,12.5,,,,
Rackets,GER,CAN,USA,CHN,NED,GBR,RUS,AUS,FRA,UKR
Rackets,19.57,13.04,10.870000000000001,8.7,8.7,6.52,6.52,4.35,4.35,4.35
Rackets,NED,CHN,GER,RUS,BRA,CAN,FRA,GBR,UKR,USA
Rackets,20.0,13.33,13.33,13.33,6.67,6.67,6.67,6.67,6.67,6.67
Roque,GER,CAN,USA,CHN,NED,GBR,RUS,AUS,FRA,UKR
Roque,19.57,13.04,10.870000000000001,8.7,8.7,6.52,6.52,4.35,4.35,4.35
Roque,NED,CHN,GER,RUS,BRA,CAN,FRA,GBR,UKR,USA
Roque,20.0,13.33,13.33,13.33,6.67,6.67,6.67,6.67,6.67,6.67
Rowing,GBR,AUS,GER,USA,NZL,ITA,NED,ROU,FRA,CAN
Rowing,13.100000000000001,10.12,8.93,6.550000000000001,5.949999999999999,5.36,5.36,4.760000000000001,4.760000000000001,4.760000000000001
Rowing,GBR,ROU,NZL,GER,AUS,FRA,POL,USA,DEN,NOR
Rowing,16.07,12.5,10.71,10.71,5.36,5.36,5.36,5.36,5.36,3.57
Sailing,GBR,USA,AUS,BRA,ESP,ITA,FRA,ARG,DEN,AUT
Sailing,16.16,8.08,7.07,6.0600000000000005,5.050000000000001,5.050000000000001,5.050000000000001,5.050000000000001,4.04,4.04
Sailing,GBR,AUS,AUT,USA,BRA,DEN,ESP,CHN,FIN,FRA
Sailing,27.27,12.12,9.09,9.09,6.06,6.06,6.06,3.03,3.03,3.03
Shooting,CHN,RUS,USA,ITA,CZE,GER,AUS,KOR,BLR,UKR
Shooting,17.01,13.61,8.16,5.4399999999999995,4.760000000000001,4.760000000000001,4.08,4.08,3.4000000000000004,3.4000000000000004
Shooting,CHN,USA,UKR,RUS,BUL,GER,SWE,ITA,AUS,CZE
Shooting,24.49,10.2,8.16,8.16,6.12,4.08,4.08,4.08,4.08,4.08
Skating,GER,CAN,USA,CHN,NED,GBR,RUS,AUS,FRA,UKR
Skating,19.57,13.04,10.870000000000001,8.7,8.7,6.52,6.52,4.35,4.35,4.35
Skating,NED,CHN,GER,RUS,BRA,CAN,FRA,GBR,UKR,USA
Skating,20.0,13.33,13.33,13.33,6.67,6.67,6.67,6.67,6.67,6.67
Softball,AUS,JPN,USA,,,,,,,
Softball,33.33,33.33,33.33,,,,,,,
Softball,USA,JPN,,,,,,,,
