Year,City,Sport,Discipline,NOC,Event,Event gender,Medal
1996,Atlanta,Athletics,Athletics,RUS,10000m walk,W,Gold
1996,Atlanta,Athletics,Athletics,RUS,1500m,W,Gold
1996,Atlanta,Athletics,Athletics,RUS,20km walk,M,Silver
1996,Atlanta,Athletics,Athletics,RUS,50km walk,M,Silver
1996,Atlanta,Athletics,Athletics,RUS,800m,W,Gold
1996,Atlanta,Athletics,Athletics,RUS,discus throw,W,Silver
1996,Atlanta,Athletics,Athletics,RUS,marathon,W,Silver
1996,Atlanta,Athletics,Athletics,RUS,pole vault,M,Silver
1996,Atlanta,Athletics,Athletics,RUS,shot put,W,Bronze
1996,Atlanta,Athletics,Athletics,RUS,triple jump,W,Silver
2000,Sydney,Athletics,Athletics,RUS,20km walk,M,Bronze
2000,Sydney,Athletics,Athletics,RUS,400m hurdles,W,Gold
2000,Sydney,Athletics,Athletics,RUS,4x400m relay,W,Bronze
2000,Sydney,Athletics,Athletics,RUS,hammer throw,W,Silver
2000,Sydney,Athletics,Athletics,RUS,heptathlon,W,Silver
2000,Sydney,Athletics,Athletics,RUS,high jump,M,Gold
2000,Sydney,Athletics,Athletics,RUS,high jump,W,Gold
2000,Sydney,Athletics,Athletics,RUS,javelin throw,M,Bronze
2000,Sydney,Athletics,Athletics,RUS,long jump,W,Bronze
2000,Sydney,Athletics,Athletics,RUS,pole vault,M,Bronze
2000,Sydney,Athletics,Athletics,RUS,shot put,W,Silver
2000,Sydney,Athletics,Athletics,RUS,triple jump,M,Bronze
2000,Sydney,Athletics,Athletics,RUS,triple jump,W,Silver
2004,Athens,Athletics,Athletics,RUS,1500m,W,Silver
2004,Athens,Athletics,Athletics,RUS,20km race walk,W,Silver
2004,Athens,Athletics,Athletics,RUS,400m,W,Bronze
2004,Athens,Athletics,Athletics,RUS,4x100m relay,W,Silver
2004,Athens,Athletics,Athletics,RUS,4x400m relay,W,Silver
2004,Athens,Athletics,Athletics,RUS,50km walk,M,Bronze
2004,Athens,Athletics,Athletics,RUS,50km walk,M,Silver
2004,Athens,Athletics,Athletics,RUS,800m,M,Gold
2004,Athens,Athletics,Athletics,RUS,discus throw,W,Gold
2004,Athens,Athletics,Athletics,RUS,hammer throw,W,Gold
2004,Athens,Athletics,Athletics,RUS,high jump,W,Gold
2004,Athens,Athletics,Athletics,RUS,javelin throw,M,Bronze
2004,Athens,Athletics,Athletics,RUS,long jump,W,Bronze
2004,Athens,Athletics,Athletics,RUS,long jump,W,Gold
2004,Athens,Athletics,Athletics,RUS,long jump,W,Silver
2004,Athens,Athletics,Athletics,RUS,pole vault,W,Gold
2004,Athens,Athletics,Athletics,RUS,pole vault,W,Silver
2004,Athens,Athletics,Athletics,RUS,triple jump,M,Bronze
2004,Athens,Athletics,Athletics,RUS,triple jump,W,Bronze
2008,Beijing,Athletics,Athletics,RUS,20km race walk,W,Gold
2008,Beijing,Athletics,Athletics,RUS,20km walk,M,Gold
2008,Beijing,Athletics,Athletics,RUS,3000m steeple,W,Bronze
2008,Beijing,Athletics,Athletics,RUS,3000m steeple,W,Gold
2008,Beijing,Athletics,Athletics,RUS,4x100m relay,W,Gold
2008,Beijing,Athletics,Athletics,RUS,4x400m relay,M,Bronze
2008,Beijing,Athletics,Athletics,RUS,4x400m relay,W,Silver
2008,Beijing,Athletics,Athletics,RUS,50km walk,M,Bronze
2008,Beijing,Athletics,Athletics,RUS,heptathlon,W,Bronze
2008,Beijing,Athletics,Athletics,RUS,high jump,M,Bronze
2008,Beijing,Athletics,Athletics,RUS,high jump,M,Gold
2008,Beijing,Athletics,Athletics,RUS,high jump,W,Bronze
2008,Beijing,Athletics,Athletics,RUS,javelin throw,W,Silver
2008,Beijing,Athletics,Athletics,RUS,long jump,W,Silver
2008,Beijing,Athletics,Athletics,RUS,pole vault,M,Silver
2008,Beijing,Athletics,Athletics,RUS,pole vault,W,Bronze
2008,Beijing,Athletics,Athletics,RUS,pole vault,W,Gold
2008,Beijing,Athletics,Athletics,RUS,triple jump,W,Silver
2012,London,Athletics,Athletics,RUS,20km race walk,W,Gold
2012,London,Athletics,Athletics,RUS,400m hurdles,W,Gold
2012,London,Athletics,Athletics,RUS,4x400m relay,W,Silver
2012,London,Athletics,Athletics,RUS,800m,W,Bronze
2012,London,Athletics,Athletics,RUS,800m,W,Gold
2012,London,Athletics,Athletics,RUS,hammer throw,W,Gold
2012,London,Athletics,Athletics,RUS,heptathlon,W,Bronze
2012,London,Athletics,Athletics,RUS,high jump,M,Gold
2012,London,Athletics,Athletics,RUS,high jump,W,Bronze
2012,London,Athletics,Athletics,RUS,high jump,W,Gold
2012,London,Athletics,Athletics,RUS,long jump,W,Silver
2012,London,Athletics,Athletics,RUS,marathon,W,Bronze
2012,London,Athletics,Athletics,RUS,pole vault,W,Bronze
2012,London,Athletics,Athletics,RUS,shot put,W,Silver
