Year,City,Sport,Discipline,NOC,Event,Event gender,Medal
1952,Helsinki,Athletics,Athletics,URS,10000m,M,Bronze
1952,Helsinki,Athletics,Athletics,URS,10000m walk,M,Bronze
1952,Helsinki,Athletics,Athletics,URS,200m,W,Bronze
1952,Helsinki,Athletics,Athletics,URS,3000m steeplech,M,Silver
1952,Helsinki,Athletics,Athletics,URS,400m hurdles,M,Silver
1952,Helsinki,Athletics,Athletics,URS,4x100m relay,M,Silver
1952,Helsinki,Athletics,Athletics,URS,80m hurdles,W,Silver
1952,Helsinki,Athletics,Athletics,URS,discus throw,W,Bronze
1952,Helsinki,Athletics,Athletics,URS,discus throw,W,Gold
1952,Helsinki,Athletics,Athletics,URS,discus throw,W,Silver
1952,Helsinki,Athletics,Athletics,URS,high jump,W,Bronze
1952,Helsinki,Athletics,Athletics,URS,javelin throw,W,Bronze
1952,Helsinki,Athletics,Athletics,URS,javelin throw,W,Silver
1952,Helsinki,Athletics,Athletics,URS,long jump,W,Silver
1952,Helsinki,Athletics,Athletics,URS,shot put,W,Bronze
1952,Helsinki,Athletics,Athletics,URS,shot put,W,Gold
1952,Helsinki,Athletics,Athletics,URS,triple jump,M,Silver
1956,Melbourne / Stockholm,Athletics,Athletics,URS,10000m,M,Gold
1956,Melbourne / Stockholm,Athletics,Athletics,URS,20km walk,M,Bronze
1956,Melbourne / Stockholm,Athletics,Athletics,URS,20km walk,M,Gold
1956,Melbourne / Stockholm,Athletics,Athletics,URS,20km walk,M,Silver
1956,Melbourne / Stockholm,Athletics,Athletics,URS,400m,M,Bronze
1956,Melbourne / Stockholm,Athletics,Athletics,URS,4x100m relay,M,Silver
1956,Melbourne / Stockholm,Athletics,Athletics,URS,5000m,M,Gold
1956,Melbourne / Stockholm,Athletics,Athletics,URS,50km walk,M,Silver
1956,Melbourne / Stockholm,Athletics,Athletics,URS,decathlon,M,Bronze
1956,Melbourne / Stockholm,Athletics,Athletics,URS,discus throw,W,Bronze
1956,Melbourne / Stockholm,Athletics,Athletics,URS,discus throw,W,Silver
1956,Melbourne / Stockholm,Athletics,Athletics,URS,hammer throw,M,Bronze
1956,Melbourne / Stockholm,Athletics,Athletics,URS,hammer throw,M,Silver
1956,Melbourne / Stockholm,Athletics,Athletics,URS,high jump,M,Bronze
1956,Melbourne / Stockholm,Athletics,Athletics,URS,high jump,W,Silver
1956,Melbourne / Stockholm,Athletics,Athletics,URS,javelin throw,M,Bronze
1956,Melbourne / Stockholm,Athletics,Athletics,URS,javelin throw,W,Bronze
1956,Melbourne / Stockholm,Athletics,Athletics,URS,javelin throw,W,Gold
1956,Melbourne / Stockholm,Athletics,Athletics,URS,long jump,W,Bronze
1956,Melbourne / Stockholm,Athletics,Athletics,URS,shot put,W,Gold
1956,Melbourne / Stockholm,Athletics,Athletics,URS,shot put,W,Silver
1956,Melbourne / Stockholm,Athletics,Athletics,URS,triple jump,M,Bronze
1960,Rome,Athletics,Athletics,URS,10000m,M,Gold
1960,Rome,Athletics,Athletics,URS,20km walk,M,Gold
1960,Rome,Athletics,Athletics,URS,3000m steeplech,M,Bronze
1960,Rome,Athletics,Athletics,URS,3000m steeplech,M,Silver
1960,Rome,Athletics,Athletics,URS,4x100m relay,M,Silver
1960,Rome,Athletics,Athletics,URS,800m,W,Gold
1960,Rome,Athletics,Athletics,URS,80m hurdles,W,Gold
1960,Rome,Athletics,Athletics,URS,decathlon,M,Bronze
1960,Rome,Athletics,Athletics,URS,discus throw,W,Gold
1960,Rome,Athletics,Athletics,URS,discus throw,W,Silver
1960,Rome,Athletics,Athletics,URS,hammer throw,M,Gold
1960,Rome,Athletics,Athletics,URS,high jump,M,Gold
1960,Rome,Athletics,Athletics,URS,high jump,M,Silver
1960,Rome,Athletics,Athletics,URS,javelin throw,M,Gold
1960,Rome,Athletics,Athletics,URS,javelin throw,W,Bronze
1960,Rome,Athletics,Athletics,URS,javelin throw,W,Gold
1960,Rome,Athletics,Athletics,URS,long jump,M,Bronze
1960,Rome,Athletics,Athletics,URS,long jump,W,Gold
1960,Rome,Athletics,Athletics,URS,shot put,W,Gold
1960,Rome,Athletics,Athletics,URS,triple jump,M,Bronze
1960,Rome,Athletics,Athletics,URS,triple jump,M,Silver
1964,Tokyo,Athletics,Athletics,URS,110m hurdles,M,Bronze
1964,Tokyo,Athletics,Athletics,URS,20km walk,M,Bronze
1964,Tokyo,Athletics,Athletics,URS,3000m steeplech,M,Bronze
1964,Tokyo,Athletics,Athletics,URS,decathlon,M,Silver
1964,Tokyo,Athletics,Athletics,URS,discus throw,W,Gold
1964,Tokyo,Athletics,Athletics,URS,hammer throw,M,Gold
1964,Tokyo,Athletics,Athletics,URS,high jump,M,Gold
1964,Tokyo,Athletics,Athletics,URS,high jump,W,Bronze
1964,Tokyo,Athletics,Athletics,URS,javelin throw,M,Bronze
1964,Tokyo,Athletics,Athletics,URS,javelin throw,W,Bronze
1964,Tokyo,Athletics,Athletics,URS,long jump,M,Bronze
1964,Tokyo,Athletics,Athletics,URS,long jump,W,Bronze
1964,Tokyo,Athletics,Athletics,URS,pentathlon,W,Bronze
1964,Tokyo,Athletics,Athletics,URS,pentathlon,W,Gold
1964,Tokyo,Athletics,Athletics,URS,shot put,W,Bronze
1964,Tokyo,Athletics,Athletics,URS,shot put,W,Gold
1964,Tokyo,Athletics,Athletics,URS,triple jump,M,Bronze
1964,Tokyo,Athletics,Athletics,URS,triple jump,M,Silver
1968,Mexico,Athletics,Athletics,URS,20km walk,M,Bronze
1968,Mexico,Athletics,Athletics,URS,20km walk,M,Gold
1968,Mexico,Athletics,Athletics,URS,400m,W,Bronze
1968,Mexico,Athletics,Athletics,URS,4x100m relay,W,Bronze
1968,Mexico,Athletics,Athletics,URS,hammer throw,M,Silver
1968,Mexico,Athletics,Athletics,URS,high jump,M,Bronze
1968,Mexico,Athletics,Athletics,URS,high jump,W,Bronze
1968,Mexico,Athletics,Athletics,URS,high jump,W,Silver
1968,Mexico,Athletics,Athletics,URS,javelin throw,M,Gold
1968,Mexico,Athletics,Athletics,URS,long jump,W,Bronze
1968,Mexico,Athletics,Athletics,URS,shot put,M,Bronze
1968,Mexico,Athletics,Athletics,URS,shot put,W,Bronze
1968,Mexico,Athletics,Athletics,URS,triple jump,M,Gold
1972,Munich,Athletics,Athletics,URS,100m,M,Gold
1972,Munich,Athletics,Athletics,URS,1500m,W,Gold
1972,Munich,Athletics,Athletics,URS,200m,M,Gold
1972,Munich,Athletics,Athletics,URS,20km walk,M,Silver
1972,Munich,Athletics,Athletics,URS,4x100m relay,M,Silver
1972,Munich,Athletics,Athletics,URS,50km walk,M,Silver
1972,Munich,Athletics,Athletics,URS,800m,M,Silver
1972,Munich,Athletics,Athletics,URS,800m,W,Silver
1972,Munich,Athletics,Athletics,URS,decathlon,M,Gold
1972,Munich,Athletics,Athletics,URS,decathlon,M,Silver
1972,Munich,Athletics,Athletics,URS,discus throw,W,Gold
1972,Munich,Athletics,Athletics,URS,hammer throw,M,Bronze
1972,Munich,Athletics,Athletics,URS,hammer throw,M,Gold
1972,Munich,Athletics,Athletics,URS,high jump,M,Gold
1972,Munich,Athletics,Athletics,URS,javelin throw,M,Silver
1972,Munich,Athletics,Athletics,URS,shot put,W,Gold
1972,Munich,Athletics,Athletics,URS,triple jump,M,Gold
1976,Montreal,Athletics,Athletics,URS,100m,M,Bronze
1976,Montreal,Athletics,Athletics,URS,100m hurdles,W,Bronze
1976,Montreal,Athletics,Athletics,URS,100m hurdles,W,Silver
1976,Montreal,Athletics,Athletics,URS,1500m,W,Gold
1976,Montreal,Athletics,Athletics,URS,400m hurdles,M,Bronze
1976,Montreal,Athletics,Athletics,URS,4x100m relay,M,Bronze
1976,Montreal,Athletics,Athletics,URS,4x100m relay,W,Bronze
1976,Montreal,Athletics,Athletics,URS,4x400m relay,W,Bronze
1976,Montreal,Athletics,Athletics,URS,800m,W,Gold
1976,Montreal,Athletics,Athletics,URS,decathlon,M,Bronze
1976,Montreal,Athletics,Athletics,URS,hammer throw,M,Bronze
1976,Montreal,Athletics,Athletics,URS,hammer throw,M,Gold
1976,Montreal,Athletics,Athletics,URS,hammer throw,M,Silver
1976,Montreal,Athletics,Athletics,URS,long jump,W,Bronze
1976,Montreal,Athletics,Athletics,URS,shot put,M,Bronze
1976,Montreal,Athletics,Athletics,URS,shot put,M,Silver
1976,Montreal,Athletics,Athletics,URS,shot put,W,Silver
1976,Montreal,Athletics,Athletics,URS,triple jump,M,Gold
1980,Moscow,Athletics,Athletics,URS,100m,W,Gold
1980,Moscow,Athletics,Athletics,URS,100m hurdles,W,Gold
1980,Moscow,Athletics,Athletics,URS,110m hurdles,M,Bronze
1980,Moscow,Athletics,Athletics,URS,1500m,W,Bronze
1980,Moscow,Athletics,Athletics,URS,1500m,W,Gold
1980,Moscow,Athletics,Athletics,URS,200m,W,Silver
1980,Moscow,Athletics,Athletics,URS,20km walk,M,Silver
1980,Moscow,Athletics,Athletics,URS,400m,M,Gold
1980,Moscow,Athletics,Athletics,URS,400m hurdles,M,Silver
1980,Moscow,Athletics,Athletics,URS,4x100m relay,M,Gold
1980,Moscow,Athletics,Athletics,URS,4x100m relay,W,Silver
1980,Moscow,Athletics,Athletics,URS,4x400m relay,M,Gold
1980,Moscow,Athletics,Athletics,URS,4x400m relay,W,Gold
1980,Moscow,Athletics,Athletics,URS,50km walk,M,Bronze
1980,Moscow,Athletics,Athletics,URS,800m,M,Bronze
1980,Moscow,Athletics,Athletics,URS,800m,W,Bronze
1980,Moscow,Athletics,Athletics,URS,800m,W,Gold
1980,Moscow,Athletics,Athletics,URS,800m,W,Silver
1980,Moscow,Athletics,Athletics,URS,decathlon,M,Bronze
1980,Moscow,Athletics,Athletics,URS,decathlon,M,Silver
1980,Moscow,Athletics,Athletics,URS,discus throw,M,Gold
1980,Moscow,Athletics,Athletics,URS,discus throw,W,Bronze
1980,Moscow,Athletics,Athletics,URS,hammer throw,M,Bronze
1980,Moscow,Athletics,Athletics,URS,hammer throw,M,Gold
1980,Moscow,Athletics,Athletics,URS,hammer throw,M,Silver
1980,Moscow,Athletics,Athletics,URS,javelin throw,M,Gold
1980,Moscow,Athletics,Athletics,URS,javelin throw,M,Silver
1980,Moscow,Athletics,Athletics,URS,javelin throw,W,Silver
1980,Moscow,Athletics,Athletics,URS,long jump,M,Bronze
1980,Moscow,Athletics,Athletics,URS,long jump,W,Bronze
1980,Moscow,Athletics,Athletics,URS,long jump,W,Gold
1980,Moscow,Athletics,Athletics,URS,marathon,M,Bronze
1980,Moscow,Athletics,Athletics,URS,pentathlon,W,Bronze
1980,Moscow,Athletics,Athletics,URS,pentathlon,W,Gold
1980,Moscow,Athletics,Athletics,URS,pentathlon,W,Silver
1980,Moscow,Athletics,Athletics,URS,pole vault,M,Silver
1980,Moscow,Athletics,Athletics,URS,shot put,M,Gold
1980,Moscow,Athletics,Athletics,URS,shot put,M,Silver
1980,Moscow,Athletics,Athletics,URS,shot put,W,Silver
1980,Moscow,Athletics,Athletics,URS,triple jump,M,Gold
1980,Moscow,Athletics,Athletics,URS,triple jump,M,Silver
1988,Seoul,Athletics,Athletics,URS,10000m,W,Bronze
1988,Seoul,Athletics,Athletics,URS,10000m,W,Gold
1988,Seoul,Athletics,Athletics,URS,1500m,W,Bronze
1988,Seoul,Athletics,Athletics,URS,1500m,W,Silver
1988,Seoul,Athletics,Athletics,URS,3000m,W,Gold
1988,Seoul,Athletics,Athletics,URS,400m,W,Bronze
1988,Seoul,Athletics,Athletics,URS,400m,W,Gold
1988,Seoul,Athletics,Athletics,URS,400m hurdles,W,Silver
1988,Seoul,Athletics,Athletics,URS,4x100m relay,M,Gold
1988,Seoul,Athletics,Athletics,URS,4x100m relay,W,Bronze
1988,Seoul,Athletics,Athletics,URS,4x400m relay,W,Gold
1988,Seoul,Athletics,Athletics,URS,50km walk,M,Gold
1988,Seoul,Athletics,Athletics,URS,discus throw,M,Silver
1988,Seoul,Athletics,Athletics,URS,hammer throw,M,Bronze
1988,Seoul,Athletics,Athletics,URS,hammer throw,M,Gold
1988,Seoul,Athletics,Athletics,URS,hammer throw,M,Silver
1988,Seoul,Athletics,Athletics,URS,high jump,M,Bronze
1988,Seoul,Athletics,Athletics,URS,high jump,M,Gold
1988,Seoul,Athletics,Athletics,URS,high jump,W,Bronze
1988,Seoul,Athletics,Athletics,URS,long jump,W,Bronze
1988,Seoul,Athletics,Athletics,URS,pole vault,M,Bronze
1988,Seoul,Athletics,Athletics,URS,pole vault,M,Gold
1988,Seoul,Athletics,Athletics,URS,pole vault,M,Silver
1988,Seoul,Athletics,Athletics,URS,shot put,W,Gold
1988,Seoul,Athletics,Athletics,URS,triple jump,M,Bronze
1988,Seoul,Athletics,Athletics,URS,triple jump,M,Silver
